U.S. state or territory[i]	Cases[ii]	Deaths	Recov.[iii]	Hosp.[iv]	Ref.
56 / 56	30,494,525[v]	541,045[v]	–	–	
	Alabama	516,266	10,607	275,245	45,250	[1]
	Alaska	60,723	313	7,165	1,260	[2]
	American Samoa	3	0	–	–	[3]
	Arizona	843,132	16,989	–	57,072	[4]
	Arkansas	330,609	5,636	306,382	14,617	[5]
	California	3,573,074	58,269	–	–	[6]
	Colorado	463,685	6,117[vi]	–	23,293	[7]
	Connecticut	313,956	7,904	–	12,257	[8][9]
	Delaware	95,590	1,565	18,371	–	[10]
	District of Columbia	44,807	1,069	28,532	–	[11]
	Florida[vii]	2,071,015	33,586	–	78,472	[12]
	Georgia	1,062,555	19,176	–	55,167	[13]
	Guam	7,749	133	7,377	–	[14]
	Hawaii	29,794	463	11,385	2,196	[15]
	Idaho	180,897	1,963	92,573	7,007	[16][17]
	Illinois	1,251,346	23,626	–	–	[18]
	Indiana	688,916	12,662	429,382	42,557	[19][20]
	Iowa	380,738	5,754	286,309	–	[21]
	Kansas	302,873	4,932	–	9,103	[22]
	Kentucky	428,527	6,129	47,067	18,768	[23][24]
	Louisiana	445,469	10,161	396,834	–	[25]
	Maine	51,189	744	12,772	1,511	[26]
	Maryland	414,385	8,319	–	34,577	[27]
	Massachusetts	638,339	17,217	477,796	19,176	[28][29]
	Michigan	759,600	17,194	529,080	–	[30]
	Minnesota	524,203	6,864	467,147	25,528	[31]
	Mississippi	305,701	7,051	273,437	9,012	[32]
	Missouri	490,321	8,501	–	–	[33]
	Montana	104,853	1,454	95,772	4,554	[34]
	Nebraska	209,896	2,181	142,336	6,048	[35]
	Nevada	304,112	5,256	–	–	[36]
	New Hampshire	84,539	1,245	70,040	1,095	[37]
	New Jersey	914,422	24,591	–	63,190	[38]
	New Mexico	191,945	3,942	135,608	12,989	[39]
	New York	1,875,107	40,635[viii]	143,659	89,995	[40]
	North Carolina	916,159	12,136	795,521	–	[41][42]
	North Dakota	103,460	1,466	97,286	3,859	[43]
	Northern Mariana Islands	144	2	29	4	[44]
	Ohio	1,021,718	18,643	894,113	49,651	[45]
	Oklahoma	439,149	4,953	401,945	23,700	[46]
	Oregon	165,524	2,385	–	8,457	[47]
	Pennsylvania	1,033,406	25,148	816,884	–	[48]
	Puerto Rico	206,420	2,121	–	–	[49]
	Rhode Island	138,255	2,630	–	8,835	[50]
	South Carolina	554,031	9,179	–	–	[51]
	South Dakota	118,186	1,938	107,745	6,548	[52]
	Tennessee	813,614	11,915	738,731	18,311	[53]
	Texas	2,790,160	47,639	2,518,534[ix]	–	[54]
	US Virgin Islands	2,714	25	2,483	–	[55]
	Utah	386,550	2,131	346,157	14,520	[56]
	Vermont	19,755	228	11,907	–	[57]
	Virginia	622,339	10,279	–	41,373	[58][59]
	Washington	365,762	5,255	–	19,110	[60]
	West Virginia	142,653	2,688	119,337	–	[61]
	Wisconsin	637,801	7,336	545,562	25,838	[62]
	Wyoming	56,389	700	52,688	1,373	[63]
